date,icao,lat,lon,temperature,weather_type
2023-02-08,EG-0006,30.329104,32.266932,,
2023-02-09,EG-0006,30.329104,32.266932,,
2023-02-10,EG-0006,30.329104,32.266932,,
2023-02-11,EG-0006,30.329104,32.266932,,
2023-02-12,EG-0006,30.329104,32.266932,,
2023-02-13,EG-0006,30.329104,32.266932,,
2023-02-14,EG-0006,30.329104,32.266932,,
2023-02-15,EG-0006,30.329104,32.266932,,
2023-02-16,EG-0006,30.329104,32.266932,,
2023-02-17,EG-0006,30.329104,32.266932,,
2023-02-18,EG-0006,30.329104,32.266932,,
2023-02-19,EG-0006,30.329104,32.266932,,
2023-02-20,EG-0006,30.329104,32.266932,,
2023-02-21,EG-0006,30.329104,32.266932,,
2023-02-22,EG-0006,30.329104,32.266932,,
2023-02-23,EG-0006,30.329104,32.266932,,
2023-02-24,EG-0006,30.329104,32.266932,,
2023-02-25,EG-0006,30.329104,32.266932,,
2023-02-26,EG-0006,30.329104,32.266932,,
2023-02-27,EG-0006,30.329104,32.266932,,
2023-02-28,EG-0006,30.329104,32.266932,,
2023-03-01,EG-0006,30.329104,32.266932,,
2023-03-02,EG-0006,30.329104,32.266932,,
2023-03-03,EG-0006,30.329104,32.266932,,
2023-03-04,EG-0006,30.329104,32.266932,,
2023-03-05,EG-0006,30.329104,32.266932,,
2023-03-06,EG-0006,30.329104,32.266932,,
2023-03-07,EG-0006,30.329104,32.266932,,
2023-03-08,EG-0006,30.329104,32.266932,,
2023-03-09,EG-0006,30.329104,32.266932,,
2023-03-10,EG-0006,30.329104,32.266932,,
2023-03-11,EG-0006,30.329104,32.266932,,
2023-03-12,EG-0006,30.329104,32.266932,,
2023-03-13,EG-0006,30.329104,32.266932,,
2023-03-14,EG-0006,30.329104,32.266932,,
2023-03-15,EG-0006,30.329104,32.266932,,
2023-03-16,EG-0006,30.329104,32.266932,,
2023-03-17,EG-0006,30.329104,32.266932,,
2023-03-18,EG-0006,30.329104,32.266932,,
2023-03-19,EG-0006,30.329104,32.266932,,
2023-03-20,EG-0006,30.329104,32.266932,,
2023-03-21,EG-0006,30.329104,32.266932,,
2023-03-22,EG-0006,30.329104,32.266932,,
2023-03-23,EG-0006,30.329104,32.266932,,
2023-03-24,EG-0006,30.329104,32.266932,,
2023-03-25,EG-0006,30.329104,32.266932,,
2023-03-26,EG-0006,30.329104,32.266932,,
2023-03-27,EG-0006,30.329104,32.266932,,
2023-03-28,EG-0006,30.329104,32.266932,,
2023-03-29,EG-0006,30.329104,32.266932,,
2023-03-30,EG-0006,30.329104,32.266932,,
2023-03-31,EG-0006,30.329104,32.266932,,
2023-04-01,EG-0006,30.329104,32.266932,,
2023-04-02,EG-0006,30.329104,32.266932,,
2023-04-03,EG-0006,30.329104,32.266932,,
2023-04-04,EG-0006,30.329104,32.266932,,
2023-04-05,EG-0006,30.329104,32.266932,,
2023-04-06,EG-0006,30.329104,32.266932,,
2023-04-07,EG-0006,30.329104,32.266932,,
2023-04-08,EG-0006,30.329104,32.266932,,
2023-04-09,EG-0006,30.329104,32.266932,,
2023-04-10,EG-0006,30.329104,32.266932,,
2023-04-11,EG-0006,30.329104,32.266932,,
2023-04-12,EG-0006,30.329104,32.266932,,
2023-04-13,EG-0006,30.329104,32.266932,,
2023-04-14,EG-0006,30.329104,32.266932,,
2023-04-15,EG-0006,30.329104,32.266932,,
