src_id,station_name,station_file_name,historic_county,station_latitude,station_longitude,station_elevation,first_year,last_year,file_location_temp,file_location_weather,file_location_precip
1551,EDENFEL,edenfel,tyrone,54.594,-7.283,89,1981,2021,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\tyrone\01551_edenfel\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\tyrone\01551_edenfel\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\tyrone\01551_edenfel\qc-version-1
1552,KNOCKMANY FOREST,knockmany-forest,tyrone,54.437,-7.173,73,1961,1973,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\tyrone\01552_knockmany-forest\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\tyrone\01552_knockmany-forest\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\tyrone\01552_knockmany-forest\qc-version-1
1553,ALTAVEEDAN W WKS,altaveedan-w-wks,tyrone,54.352,-7.252,175,1979,1979,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\tyrone\01553_altaveedan-w-wks\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\tyrone\01553_altaveedan-w-wks\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\tyrone\01553_altaveedan-w-wks\qc-version-1
1554,FIVEMILETOWN,fivemiletown,tyrone,54.377,-7.319,119,1983,1996,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\tyrone\01554_fivemiletown\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\tyrone\01554_fivemiletown\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\tyrone\01554_fivemiletown\qc-version-1
1555,POMEROY FOREST,pomeroy-forest,tyrone,54.595,-6.91,174,1976,1985,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\tyrone\01555_pomeroy-forest\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\tyrone\01555_pomeroy-forest\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\tyrone\01555_pomeroy-forest\qc-version-1
1556,MOYGASHEL S WKS,moygashel-s-wks,tyrone,54.484,-6.748,52,1993,2004,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\tyrone\01556_moygashel-s-wks\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\tyrone\01556_moygashel-s-wks\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\tyrone\01556_moygashel-s-wks\qc-version-1
1557,COOKSTOWN,cookstown,tyrone,54.615,-6.738,77,1976,1995,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\tyrone\01557_cookstown\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\tyrone\01557_cookstown\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\tyrone\01557_cookstown\qc-version-1
1558,MOYGASHEL,moygashel,tyrone,54.486,-6.754,65,1989,1993,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\tyrone\01558_moygashel\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\tyrone\01558_moygashel\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\tyrone\01558_moygashel\qc-version-1
1559,BENBURB PRIORY,benburb-priory,tyrone,54.412,-6.744,53,1988,1991,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\tyrone\01559_benburb-priory\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\tyrone\01559_benburb-priory\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\tyrone\01559_benburb-priory\qc-version-1
1560,CALEDON,caledon,tyrone,54.376,-6.884,52,1991,1992,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\tyrone\01560_caledon\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\tyrone\01560_caledon\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\tyrone\01560_caledon\qc-version-1
1561,KNOCKAREVAN,knockarevan,fermanagh,54.422,-8.087,50,1973,2004,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\fermanagh\01561_knockarevan\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\fermanagh\01561_knockarevan\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\fermanagh\01561_knockarevan\qc-version-1
1562,CORGARY,corgary,fermanagh,54.44,-8.052,145,1973,2011,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\fermanagh\01562_corgary\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\fermanagh\01562_corgary\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\fermanagh\01562_corgary\qc-version-1
1563,LOUGH NAVAR FOREST,lough-navar-forest,fermanagh,54.439,-7.901,126,1961,2021,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\fermanagh\01563_lough-navar-forest\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\fermanagh\01563_lough-navar-forest\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\fermanagh\01563_lough-navar-forest\qc-version-1
