date,station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type
1900-05-12,CHELTENHAM,51.895,-2.08,Drizzle,Cool,Sunny
1900-05-13,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-05-13,CHELTENHAM,51.895,-2.08,Dry,Cool,Sunny
1900-05-14,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-05-14,CHELTENHAM,51.895,-2.08,Dry,Cool,Sunny
1900-05-15,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-05-15,CHELTENHAM,51.895,-2.08,Dry,Cool,Sunny
1900-05-16,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-05-16,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-05-17,CHELTENHAM,51.895,-2.08,Dry,,Partially Overcast
1900-05-17,CHELTENHAM,51.895,-2.08,Dry,Cool,Partially Overcast
1900-05-18,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-05-18,CHELTENHAM,51.895,-2.08,Dry,Cool,Sunny
1900-05-19,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-05-19,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-05-20,CHELTENHAM,51.895,-2.08,Dry,,Partially Overcast
1900-05-20,CHELTENHAM,51.895,-2.08,Dry,Mild,Partially Overcast
1900-05-21,CHELTENHAM,51.895,-2.08,Heavy Rain,,Partially Overcast
1900-05-21,CHELTENHAM,51.895,-2.08,Heavy Rain,Cool,Partially Overcast
1900-05-22,CHELTENHAM,51.895,-2.08,Mild Rain,,Sunny
1900-05-22,CHELTENHAM,51.895,-2.08,Mild Rain,Mild,Sunny
1900-05-23,CHELTENHAM,51.895,-2.08,Drizzle,,Partially Overcast
1900-05-23,CHELTENHAM,51.895,-2.08,Drizzle,Cool,Partially Overcast
1900-05-24,CHELTENHAM,51.895,-2.08,Drizzle,,Sunny
1900-05-24,CHELTENHAM,51.895,-2.08,Drizzle,Mild,Sunny
1900-05-25,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-05-25,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-05-26,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-05-26,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
